#,Project,Token,Round,Amount,Valuation,Date,Investors
1,Quantra,QTA,Strategic,-,-,"Jan 30, 2026","Gemhead Capital, Coinvestor Ventures, Alpha Capital"
2,Euclid Protocol,-,Seed,$3.5M,~$35M,"Jan 29, 2026","KuCoin Ventures, Gate Ventures, 0G Labs"
3,Propy,PRO,Unknown,$100M,~$1B,"Jan 29, 2026",-
4,Xangle,-,Strategic,$6.9M,~$69M,"Jan 28, 2026",Hanwha Asset Management
5,Flying Tulip,-,Series A,$25.5M,$1B,"Jan 28, 2026","Amber Group, Paper Ventures, Fasanara Digital"
6,Flying Tulip,-,Public Sale,$50M,-,"Jan 28, 2026",-
7,Talos,-,Series B,$45M,$1.5B,"Jan 28, 2026","Andreessen Horowitz, QCP Capital, Robinhood, Sony Innovation Fund, IMC"
8,Startale Labs,-,Series A,$13M,~$130M,"Jan 28, 2026",Sony Innovation Fund
9,Doppler,-,Seed,$9M,~$90M,"Jan 28, 2026","Pantera Capital, Coinbase Ventures, Variant Fund, Figment Capital"
10,Metaplanet,-,Debt Financing,$137M,-,"Jan 28, 2026",-
11,Bleap,-,Seed,$6M,-,"Jan 27, 2026",Blossom Capital
12,AetheriumX,-,Strategic,$8M,~$80M,"Jan 26, 2026","Cryptogram Venture, Duckdao, Gains Associates"
13,Sentient,SENT,Strategic,-,-,"Jan 26, 2026",Franklin Templeton
14,Tenbin Labs,-,Seed,$7.1M,~$71M,"Jan 26, 2026","Galaxy Ventures, Wintermute, GSR"
15,Mesh,-,Series C,$75M,$1B,"Jan 26, 2026","Dragonfly, Paradigm, Moderne Ventures"
16,Humanity Protocol,H,Strategic,-,-,"Jan 26, 2026",Hex Trust
17,Bulletin,-,M&A,-,-,"Jan 26, 2026",DefiLlama
18,Streamex,-,Post-IPO,$35M,~$58M,"Jan 25, 2026",-
19,Zona,-,Pre-Seed,$0.5M,~$5M,"Jan 25, 2026","Animoca Brands, Echo, Purple"
20,Everything,E,Seed,$6.9M,~$69M,"Jan 25, 2026","Humanity Protocol, Hex Trust, Animoca Brands"
21,Bullshot,-,Unknown,-,-,"Jan 23, 2026","Genesis Capital, Becker Ventures"
22,River,RIVER,Strategic,$12M,~$120M,"Jan 21, 2026","Maelstrom Capital, The Spartan Group, Tron Foundation, Justin Sun"
23,Zama,-,Public Sale,$44M,$550M,"Jan 21, 2026",-
24,Farcaster,-,M&A,-,-,"Jan 21, 2026",Neynar
25,Warden Protocol,-,Strategic,$4M,$200M,"Jan 21, 2026","0G Labs, Messari, Venice"
26,Lazbubu,-,Strategic,-,-,"Jan 21, 2026","Metis, Hotcoin Labs"
27,Atlas,-,M&A,-,-,"Jan 21, 2026",Chainlink
28,BitGo,-,IPO,$213M,$2.08B,"Jan 21, 2026",YZi Labs
29,ZBD,-,Series C,$40M,~$400M,"Jan 21, 2026",Blockstream Capital Partners
30,PAN,-,Unknown,$1M,~$10M,"Jan 21, 2026",-
31,Superstate,-,Series B,$82.5M,~$825M,"Jan 21, 2026","Bain Capital Crypto, Distributed Global, HAUN"
32,Elsa,ELSA,Unknown,-,-,"Jan 20, 2026",-
33,Security Token Market,-,M&A,-,-,"Jan 20, 2026",RedStone
34,Cork Protocol,-,Seed,$5.5M,~$55M,"Jan 20, 2026","a16z CSX, Road Capital, IDEO"
35,Finst,-,Series A,€8M (~$9.35M),~$93.5M,"Jan 20, 2026","Endeit Capital, Eelko van Kooten"
36,CheckSig,-,Series A,€3.5M (~$4.1M),$39.25M,"Jan 19, 2026",-
37,Bitway,BTW,Seed,$4.44M,$50M,"Jan 19, 2026","Tron, HTX Ventures, YZi Labs"
38,Coinstack,-,M&A,-,-,"Jan 19, 2026",Alpha Edge Media
39,Immunefi,IMU,Public Sale,$2.5M,$117.7M,"Jan 19, 2026",-
40,AKEDO,AKE,Seed,$5M,~$50M,"Jan 18, 2026","Karatage, Sfermion, Collab+Currency"
41,HyperLend,HPL,Unknown,$1.7M,~$17M,"Jan 18, 2026","No Limit Holdings, RockawayX"
42,Space,SPACE,Public Sale,$20M,$69M,"Jan 16, 2026",-
43,Orochi Network,ON,Unknown,$8M,-,"Jan 16, 2026","Ethereum Foundation, MEXC Ventures"
44,Saturn,-,Angel,$0.8M,~$8M,"Jan 15, 2026","YZi Labs, Sora Ventures"
45,Konnex,-,Strategic,$15M,~$150M,"Jan 15, 2026","LD Capital, Cogitent Ventures"
46,Veera,-,Seed,$10M,~$40M,"Jan 15, 2026","6MV, Ayon Capital, Titan Fund, Sigma Capital"
47,Project Eleven,-,Series A,$20M,$120M,"Jan 14, 2026","Coinbase Ventures, Variant Fund, Castle Island Ventures"
48,LMAX Digital,-,Unknown,$150M,~$1.5B,"Jan 14, 2026",Ripple
49,Beatcoin,-,Strategic,$5M,~$50M,"Jan 14, 2026","Cogitent Ventures, Go2Mars Labs, Castrum Capital"
50,Fogo,FOGO,Public Sale,$7M,$350M,"Jan 14, 2026","GSR, Selini Capital"
51,Alpaca,-,Series D,$150M,$1.15B,"Jan 14, 2026","Drive Capital, Citadel"
52,SOMO,-,M&A,-,-,"Jan 13, 2026",Animoca Brands
53,Noise,-,Seed,$7.1M,~$71M,"Jan 13, 2026","Paradigm, GSR, Figment"
54,Meld,-,Unknown,$7M,~$70M,"Jan 13, 2026","Faction, F-Prime Capital, Lightspeed"
55,Coinme,-,M&A,-,-,"Jan 12, 2026",Polygon
56,Instant Coin Bank,-,M&A,-,-,"Jan 12, 2026",Bitcoin Depot
57,Upexi,-,Post-IPO,$36M,~$360M,"Jan 12, 2026",Hivemind Capital
58,Genius,-,Unknown,-,-,"Jan 12, 2026",YZi Labs
59,Sequence,-,M&A,-,-,"Jan 12, 2026",Polygon
60,VelaFi,-,Series B,$20M,-,"Jan 11, 2026","XVC, BAI Capital, Alibaba Group"
61,DTR,-,M&A,-,-,"Jan 11, 2026",Bakkt
62,Neuramint,-,Seed,$5M,~$50M,"Jan 11, 2026","Maelstrom Capital, Borderless Capital"
63,Naoris Protocol,NAORIS,Unknown,-,-,"Jan 11, 2026",MOVA
64,XMAQUINA,DEUS,Unknown,$10M,-,"Jan 11, 2026","Borderless Capital, MH Ventures, Moonrock Capital"
65,TROVE,TROVE,Public Sale,$11.5M,$20M,"Jan 11, 2026",-
66,KOLect,-,Pre-Seed,$1.2M,~$12M,"Jan 09, 2026","amber.ac, Wonder Capital"
67,TBook,-,Unknown,$10M,~$50M,"Jan 09, 2026","SevenX Ventures, Mask Network, HT Capital"
68,Rain,-,Series C,$250M,$1.95B,"Jan 08, 2026","ICONIQ Capital, Dragonfly, Sapphire Ventures"
69,BlackOpal,-,Unknown,$200M,~$2B,"Jan 08, 2026",Mars Capital Advisors
70,PhotonPay,-,Series B,-,-,"Jan 08, 2026","IDG Capital, Faction, Hillhouse"
71,3iQ,-,M&A,$112M,-,"Jan 07, 2026",Coincheck
72,ZenChain,ZTC,Unknown,$8.5M,~$85M,"Jan 06, 2026","Watermelon Capital, DWF Labs, Genesis Capital VC"
73,Tres.finance,-,M&A,$130M,~$1.3B,"Jan 06, 2026",Fireblocks
74,Ubyx,-,Unknown,-,-,"Jan 06, 2026",Barclays
75,Babylon,BABY,Unknown,$15M,~$150M,"Jan 06, 2026",Andreessen Horowitz
76,Ranger,RNGR,Unknown,-,$15.38M,"Jan 06, 2026",-
77,HabitTrade,-,Series A,-,-,"Jan 05, 2026","StableStock, Newborn Town, Bright Venture Capital"
78,jpeg,-,Angel,-,-,"Jan 05, 2026","Scott Moore, Kartik Talwar, Sandra Leow"
79,BTV Group,-,M&A,-,-,"Jan 05, 2026",ME
80,Boings.ai,-,Seed,-,$30M,"Jan 04, 2026","LandScape Capital, Hotcoin Labs, Starbase, Go2Mars Labs"
81,Block Security Arena,-,Seed,-,$30M,"Jan 04, 2026","Hotcoin Labs, Onebit Ventures"
82,Stakin,-,M&A,-,-,"Jan 04, 2026",The TIE
83,ICEx,-,Unknown,$70M,-,Jan 2026,-
84,Infinex,INX,Public Sale,$5M,$99.99M,Jan 2026,-
85,Prometheum,-,Unknown,$23M,-,Jan 2026,-
86,City Protocol,-,Unknown,-,-,Jan 2026,071 Labs